id,name,file,offset
252,com.facebook.buck.artifact_cache.thrift.BuckCacheMultiFetchResponse,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheMultiFetchResponse.java,189
253,com.facebook.buck.distributed.thrift.LogStreamType,src-gen/com/facebook/buck/distributed/thrift/LogStreamType.java,187
254,com.facebook.buck.distributed.thrift.FetchBuildSlaveStatusResponse,src-gen/com/facebook/buck/distributed/thrift/FetchBuildSlaveStatusResponse.java,186
255,com.facebook.buck.distributed.thrift.MultiGetBuildSlaveEventsResponse,src-gen/com/facebook/buck/distributed/thrift/MultiGetBuildSlaveEventsResponse.java,186
256,com.facebook.buck.artifact_cache.thrift.BuckCacheStoreResponse,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheStoreResponse.java,189
257,com.android.dx.dex.cf.OptimizerOptions,third-party/java/dx/src/com/android/dx/dex/cf/OptimizerOptions.java,921
258,com.facebook.buck.distributed.thrift.CreateBuildResponse,src-gen/com/facebook/buck/distributed/thrift/CreateBuildResponse.java,186
259,com.android.manifmerger.Selector,third-party/java/aosp/src/com/android/manifmerger/Selector.java,835
260,com.facebook.buck.artifact_cache.thrift.BuckCacheFetchResponse,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheFetchResponse.java,189
261,com.android.dx.rop.cst.CstNat,third-party/java/dx/src/com/android/dx/rop/cst/CstNat.java,692
262,com.facebook.buck.core.cell.CellProvider,src/com/facebook/buck/core/cell/CellProvider.java,1225
263,com.facebook.buck.distributed.thrift.EnqueueMinionsResponse,src-gen/com/facebook/buck/distributed/thrift/EnqueueMinionsResponse.java,186
264,com.facebook.buck.distributed.thrift.MinionRequirement,src-gen/com/facebook/buck/distributed/thrift/MinionRequirement.java,186
265,com.android.dx.dex.file.Statistics,third-party/java/dx/src/com/android/dx/dex/file/Statistics.java,781
266,com.facebook.buck.distributed.thrift.BuildJobStateBuildTarget,src-gen/com/facebook/buck/distributed/thrift/BuildJobStateBuildTarget.java,186
267,com.facebook.buck.apple.AppleBundle,src/com/facebook/buck/apple/AppleBundle.java,4130
268,com.facebook.buck.distributed.thrift.BuildModeInfo,src-gen/com/facebook/buck/distributed/thrift/BuildModeInfo.java,186
